id,episode_title,episode_number,file_url,pub_date,episode_desc,img_url
0,The Bideo 14: Adventures at PAX,14,https://mcdn.podbean.com/mf/web/9gjrt6/The_Bideo_14.mp3,2017-09-19 08:10:24,"Dan went to PAX. Steve recorded this episode (and left all his app noises on). Noah is nowhere to be seen. Nick is also a guy. Games include: Rebel Galaxy, Poi, Oceanhorn: Monster of Uncharted Seas, Shadowrun and more!",https://pbcdn1.podbean.com/imglogo/ep-logo/pbblog1501784/TrueBideo.jpg
0,The Bideo 13.5: One Man Show,13.5,https://mcdn.podbean.com/mf/web/usrr4y/135.mp3,2017-08-22 20:29:06,"It's hard to get everyone together these days, so you're forced to listen to Noah and only Noah!",null
0,The Bideo 13: Podcasts Done Quick,13,https://mcdn.podbean.com/mf/web/2hcikn/The_Bideo_13.mp3,2017-07-14 22:18:01,"This time the gang talks about SGDQ, fast food, gamer weekend, speedrunning games and some more MMO talk.",null
0,The Bideo 12: The MMO Rotation Station,12,https://mcdn.podbean.com/mf/web/3tikac/Bideo18.mp3,2017-06-23 20:27:02,"Nick's back everyone! Noah and Dan talk about WoW and the new Final Fantasy 14 expansion. Steve has shmups and an indie platformer. We also talk about reproduction carts and CIBs.",null
0,The Bideo 11: E3 Hypu,11,https://mcdn.podbean.com/mf/web/p3rm2y/Bideo_17.mp3,2017-06-23 14:36:33,"Dan, Steve and Noah talk about some of the things they like and disliked about E3 2017.",null
0,The Bideo 10:  Nicholas Rising,10,https://mcdn.podbean.com/mf/web/2bxcu7/The_Bideo_16.mp3,2017-06-06 21:45:20,"We bring a guest on and talk about Game Informer's top 100 rpg list.",null
0,The Bideo 09: Bideo of the Storm 2.0,09,https://mcdn.podbean.com/mf/web/qc5rq6/TheBideo15.mp3,2017-05-12 22:28:41,"These Episode's discussions include how great video games are in 2017, Heroes of the Storm, Starcraft, Steve's ITG machine and more!",null
0,The Bideo 08: Nerobetus,08,https://mcdn.podbean.com/mf/web/uqbf4m/The_Bideo_Just_Noah_and_Steve.mp3,2017-04-27 19:40:45,"Dan was in Florida so it was just Noah and Steve talking about Steve's cat. At some point we transition into actual video games. Persona 5, being a spoilery subject, we talked very little of it.",null
0,The Bideo 07: Something Something NieR Joke,07,https://mcdn.podbean.com/mf/web/zcv2cz/The_Bideo_Episode_10.mp3,2017-03-27 17:24:08,"In this episode we cover a little bit of the Jontron incident, the usual 'what we've been playing', some sweet kickstarter stuff and NieR: Automata.",null
0,The Bideo: Breath of the Wild Quickcast,Breath,https://mcdn.podbean.com/mf/web/gf5id2/The_Bideo_BotWQuickcast.mp3,2017-03-20 17:01:38,"In this episode, we talk about The Legend of Zelda in its entirety. We pick it apart and give it an actual rating! WARNING! This episode is FULL of spoilers...so if you haven't finished this game, hold off on listening to it.",null
0,The Bideo 06: Episode Probably 9,06,https://mcdn.podbean.com/mf/web/vijemv/The_Bideo_Episode_8-2.mp3,2017-03-14 22:04:09,"After technical delays of other episodes, we go back to recording/editing the old way. Sounds better than it used to for sure. In this episode we catch up on our games, Steve  and Dan talk about the switch and we all talk about The Legend of Zelda: Breat...",null
0,The Bideo 05: We Played Games,05,https://mcdn.podbean.com/mf/web/s2cqx7/Bideo_Ep5.mp3,2016-12-15 08:06:42,"Dan talks WoW. Noah talks romhacks. Steve talks about games nobody has ever heard of.",null
0,The Bideo 04: Reheated,04,https://mcdn.podbean.com/mf/web/2eiibh/Bideo_EP4.mp3,2016-12-15 07:49:24,"Dan comes back from PAX and he talks about that. Dan and Noah talk about the new expansion for World of Warcraft. There is also a large arguement about reheated food Mexican vs Indian.",null
0,The Bideo 03: All The Spoilers,03,https://mcdn.podbean.com/mf/web/ja6dyu/Bideo_EP3.mp3,2016-12-15 07:44:28,"We each go over our top 5 rpgs. MEGA spoiler warning here.",null
0,The Bideo 02: Mac 'n' Cheetos,02,https://mcdn.podbean.com/mf/web/qv69yf/The_Bideo_Ep2.mp3,2016-12-15 07:38:24,"I don't remember much about this one. We talk about wishlists, games we're excited for, punch club, mario pinball, hagane and Mac 'n' Cheetos.",null
0,The Bideo 01: Dawn of a New Day,01,https://mcdn.podbean.com/mf/web/s3ry7b/The_Bideo_Ep1.mp3,2016-12-15 07:17:41,"We give off some introductions and awkwardly begin our way into podcastdom.",null
0,The Bideo: FFXV Quickcast,FFXV,https://mcdn.podbean.com/mf/web/8it3jy/BideoFantasyXV.mp3,2016-12-08 05:03:36,"In this episode, we do an hour long talk about what we've experienced in Final Fantasy XV.",null
